edge_id,date,day_of_week,is_weekend,hour,weather,is_rush_hour,congestion_level
"(331538426, 596600176, 0)",2026-05-31,6,0,6,1,0,2
"(1361117556, 1361117294, 0)",2026-07-25,5,1,15,0,1,1
"(331561175, 6600683484, 0)",2026-06-25,3,0,8,0,1,8
"(1374436669, 1374435956, 0)",2026-07-03,4,1,8,0,1,2
"(1371671621, 1371671088, 0)",2026-05-06,2,0,9,0,1,6
"(1381026313, 6570667566, 0)",2026-05-21,3,0,19,0,0,3
"(1364829713, 6544339896, 0)",2026-06-07,6,0,14,0,1,6
"(6541873169, 6541873170, 0)",2026-06-21,6,0,14,0,1,9
"(721619180, 1380541148, 0)",2026-05-02,5,1,12,0,0,3
"(1323345559, 1323345237, 0)",2026-05-01,4,1,19,1,0,5
"(1175877023, 5755845306, 0)",2026-07-04,5,1,13,0,0,2
"(1371955805, 1371955991, 0)",2026-05-03,6,0,15,2,1,10
"(5754411776, 331541812, 0)",2026-05-09,5,1,20,0,0,7
"(6637789301, 6637789305, 0)",2026-05-01,4,1,18,1,0,2
"(6640700587, 1349781203, 0)",2026-06-08,0,0,11,1,0,3
"(1343821189, 1343821154, 0)",2026-06-25,3,0,10,0,0,2
"(1330400137, 6629198642, 0)",2026-06-12,4,1,15,1,1,1
"(5766243573, 1331024008, 0)",2026-05-16,5,1,19,0,0,8
"(1174446973, 1174066983, 0)",2026-06-02,1,0,19,0,0,1
"(1346847673, 1346779125, 0)",2026-06-20,5,1,12,1,0,2
"(1360982415, 1804724846, 0)",2026-07-24,4,1,20,0,0,7
"(1327149840, 1327149966, 0)",2026-07-14,1,0,9,0,1,7
"(1347409972, 6530844087, 0)",2026-07-21,1,0,22,1,0,2
"(1364174324, 1364174414, 0)",2026-06-09,1,0,12,0,0,2
"(1174525096, 1174524924, 0)",2026-05-29,4,1,18,0,0,3
"(1381026405, 1381026406, 0)",2026-07-19,6,0,18,0,0,1
"(1347137271, 1347137638, 0)",2026-07-23,3,0,18,2,0,5
"(1355636386, 1355636743, 0)",2026-05-02,5,1,7,0,1,2
"(6557315806, 12468747074, 0)",2026-05-25,0,0,20,0,0,1
"(6541243906, 6530776895, 0)",2026-07-17,4,1,11,0,0,1
"(1372020716, 1372021151, 0)",2026-06-03,2,0,12,0,0,1
"(331565003, 331565002, 0)",2026-06-23,1,0,15,0,1,8
"(1347409972, 6530844087, 0)",2026-06-21,6,0,7,0,1,7
"(1361117697, 1361117344, 0)",2026-06-22,0,0,11,0,0,3
"(6585611590, 6585611586, 0)",2026-07-07,1,0,11,0,0,2
"(1350029522, 1350029611, 0)",2026-05-14,3,0,19,0,0,1
"(6548212725, 6548212716, 0)",2026-07-24,4,1,19,0,0,5
"(1331244808, 1331245774, 0)",2026-07-07,1,0,10,0,0,1
"(1323345470, 1323345442, 0)",2026-06-21,6,0,23,0,0,1
"(1328079405, 6581812777, 0)",2026-05-25,0,0,9,0,1,6
"(6547969023, 5761923677, 0)",2026-06-16,1,0,22,0,0,2
"(6547790611, 6547790609, 0)",2026-07-17,4,1,23,0,0,3
"(5756734424, 5756734434, 0)",2026-05-14,3,0,21,0,0,2
"(1328079405, 6581812777, 0)",2026-06-02,1,0,23,0,0,3
"(1346216734, 1346612349, 0)",2026-06-12,4,1,13,1,0,1
"(1330820321, 1330820182, 0)",2026-05-17,6,0,20,0,0,1
"(6669853392, 6670102510, 0)",2026-06-25,3,0,23,0,0,1
"(6772044486, 6772029084, 0)",2026-06-08,0,0,13,1,0,1
"(6606955214, 6607646372, 0)",2026-05-18,0,0,8,0,1,6
"(6757013374, 6757013360, 0)",2026-05-31,6,0,16,1,1,7
"(1329345245, 1327186582, 0)",2026-05-21,3,0,7,0,1,7
"(6588463544, 6588463537, 0)",2026-06-09,1,0,12,0,0,2
"(11006104077, 11006104104, 0)",2026-06-28,6,0,21,1,0,1
"(12920669869, 1186889231, 0)",2026-07-21,1,0,12,1,0,1
"(12208471727, 12208928944, 0)",2026-05-02,5,1,20,0,0,6
"(6548212725, 6548212716, 0)",2026-05-17,6,0,18,0,0,2
"(6769787807, 1349781643, 0)",2026-07-26,6,0,11,2,0,6
"(1349527741, 6552015853, 0)",2026-07-07,1,0,19,0,0,3
"(331538426, 596600176, 0)",2026-07-03,4,1,6,0,0,3
"(6552768140, 1330947542, 0)",2026-05-30,5,1,20,0,0,7
"(13087366601, 1329433896, 0)",2026-05-20,2,0,9,0,1,5
"(6569018819, 1380541980, 0)",2026-05-18,0,0,12,0,0,3
"(1184864093, 1184863233, 0)",2026-06-17,2,0,15,0,1,6
"(1175877023, 5755845306, 0)",2026-05-08,4,1,22,1,0,7
"(6543942506, 6543942517, 0)",2026-05-10,6,0,6,0,0,3
"(6769163183, 6769186889, 0)",2026-07-07,1,0,11,0,0,2
"(1366234557, 6547766243, 0)",2026-05-06,2,0,19,0,0,3
"(6624547084, 6624573185, 0)",2026-06-17,2,0,14,0,1,6
"(1374129709, 6631219361, 0)",2026-05-17,6,0,21,0,0,2
"(1175877701, 1175876747, 0)",2026-07-09,3,0,22,0,0,3
"(6561114834, 1174066991, 0)",2026-05-25,0,0,19,0,0,1
"(6555547270, 1175742029, 0)",2026-07-12,6,0,8,0,1,7
"(6775165202, 6775165196, 0)",2026-06-19,4,1,15,0,1,1
"(6580927373, 6580961271, 0)",2026-05-09,5,1,12,0,0,1
"(1332669891, 6628697084, 0)",2026-07-26,6,0,14,2,1,10
"(6552362569, 6552362570, 0)",2026-07-09,3,0,13,0,0,3
"(1356918901, 1356920642, 0)",2026-05-11,0,0,7,0,1,7
"(1331244808, 1331245774, 0)",2026-05-29,4,1,11,0,0,3
"(1371538812, 6769787795, 0)",2026-05-06,2,0,23,0,0,3
"(13087366601, 1329433896, 0)",2026-06-23,1,0,11,0,0,2
"(1368366511, 1368366365, 0)",2026-07-07,1,0,8,0,1,8
"(6553252010, 6536363971, 0)",2026-07-16,3,0,13,1,0,3
"(1324181560, 1324181166, 0)",2026-05-10,6,0,14,0,1,8
"(1352193566, 1352193540, 0)",2026-07-13,0,0,21,0,0,1
"(1374279617, 6584639024, 0)",2026-05-25,0,0,10,0,0,3
"(1347293046, 1347292957, 0)",2026-07-26,6,0,10,2,0,4
"(1374279064, 1374279335, 0)",2026-05-19,1,0,12,0,0,3
"(6620749493, 6620749498, 0)",2026-05-09,5,1,17,0,0,1
"(1323895380, 1323895286, 0)",2026-06-30,1,0,7,0,1,6
"(1175877680, 1175876658, 0)",2026-06-24,2,0,19,1,0,1
"(331565003, 331565002, 0)",2026-07-06,0,0,8,0,1,8
"(1346847038, 6304363132, 0)",2026-05-20,2,0,9,0,1,9
"(6304273976, 6546822438, 0)",2026-05-05,1,0,8,1,1,7
"(6557376729, 6557376724, 0)",2026-07-03,4,1,22,0,0,8
"(1354670094, 1354670321, 0)",2026-05-05,1,0,15,1,1,6
"(1343821184, 1343821263, 0)",2026-07-25,5,1,20,0,0,7
"(1323346022, 6598161420, 0)",2026-06-21,6,0,15,0,1,6
"(1174524594, 5754846394, 0)",2026-06-05,4,1,21,0,0,8
"(1379372182, 1379372190, 0)",2026-07-19,6,0,18,0,0,2
"(6585521761, 6585521754, 0)",2026-06-11,3,0,12,1,0,1
"(1330171637, 1330170399, 0)",2026-05-12,1,0,8,1,1,8
"(6757354948, 1332017603, 0)",2026-07-10,4,1,6,2,0,6
"(1329637961, 1329637914, 0)",2026-06-02,1,0,22,0,0,2
"(6577216619, 1367530046, 0)",2026-07-07,1,0,14,0,1,7
"(1175876849, 1175876791, 0)",2026-06-23,1,0,14,0,1,7
"(1364900601, 6552023122, 0)",2026-07-23,3,0,13,2,0,4
"(1326941345, 1326941569, 0)",2026-06-24,2,0,18,1,0,2
"(1179694975, 1179694218, 0)",2026-06-21,6,0,22,0,0,2
"(1350752677, 1350752992, 0)",2026-05-13,2,0,9,0,1,9
"(6757636101, 6756086743, 0)",2026-05-08,4,1,17,1,0,3
"(1174524649, 6754562258, 0)",2026-05-20,2,0,10,0,0,3
"(1325839946, 1326062805, 0)",2026-07-04,5,1,17,0,0,2
"(1359003946, 1359004437, 0)",2026-05-12,1,0,6,1,0,2
"(1347293046, 1347292957, 0)",2026-07-27,0,0,13,0,0,2
"(1341987090, 1342945811, 0)",2026-06-01,0,0,16,0,1,5
"(6629184675, 1324373501, 0)",2026-07-25,5,1,15,0,1,2
"(6553252033, 1184975571, 0)",2026-07-26,6,0,10,2,0,5
"(1331244754, 1331244877, 0)",2026-07-06,0,0,6,0,0,3
"(7456067127, 1356940127, 0)",2026-05-22,4,1,19,1,0,7
"(6568974979, 6569018810, 0)",2026-05-30,5,1,18,0,0,1
"(1371671327, 1371671454, 0)",2026-06-26,4,1,11,1,0,2
"(1341987090, 1342945811, 0)",2026-06-22,0,0,22,0,0,2
"(11006104076, 11006104068, 0)",2026-05-19,1,0,19,0,0,2
"(1361117286, 1361117571, 0)",2026-07-20,0,0,9,1,1,7
"(1329637961, 1329637914, 0)",2026-07-15,2,0,6,0,0,2
"(1354862489, 1354862557, 0)",2026-07-09,3,0,13,0,0,2
"(1374436669, 1374435956, 0)",2026-07-11,5,1,12,0,0,2
"(1374279176, 1374279464, 0)",2026-05-23,5,1,23,0,0,2
"(6552362569, 6552362570, 0)",2026-05-28,3,0,15,1,1,7
"(5930720830, 6598993780, 0)",2026-05-15,4,1,17,1,0,1
"(8278633101, 6558106796, 0)",2026-07-17,4,1,6,0,0,3
"(1396508515, 1396508522, 0)",2026-07-09,3,0,16,0,1,7
"(1356460312, 1356460609, 0)",2026-05-12,1,0,22,1,0,1
"(1178236650, 1178236811, 0)",2026-06-21,6,0,15,0,1,6
"(6557825399, 1175373862, 0)",2026-05-08,4,1,7,1,1,1
"(5930720830, 6598993780, 0)",2026-07-17,4,1,15,0,1,3
"(5766243573, 1331024008, 0)",2026-05-27,2,0,17,0,0,2
"(1363882222, 1363883477, 0)",2026-05-01,4,1,20,1,0,6
"(1333236273, 1333236208, 0)",2026-07-21,1,0,19,1,0,3
"(13037817967, 13037817968, 0)",2026-05-15,4,1,22,1,0,8
"(331565003, 331565002, 0)",2026-05-09,5,1,20,0,0,7
"(719870150, 719870151, 0)",2026-07-21,1,0,12,1,0,2
"(1364900603, 1364900434, 0)",2026-05-03,6,0,15,2,1,8
"(3467985821, 3467985833, 0)",2026-05-24,6,0,21,0,0,2
"(1347569397, 1347569473, 0)",2026-06-25,3,0,18,0,0,1
"(1346847308, 1346847645, 0)",2026-05-23,5,1,7,0,1,3
"(6557737125, 6557737126, 0)",2026-05-02,5,1,22,0,0,7
"(1354670094, 1354670321, 0)",2026-06-03,2,0,14,0,1,7
"(1347293046, 1347292957, 0)",2026-05-11,0,0,12,0,0,3
"(1185026376, 1184942947, 0)",2026-07-27,0,0,14,0,1,7
"(5930720830, 6598993780, 0)",2026-07-25,5,1,13,0,0,2
"(6547969023, 5761923677, 0)",2026-05-24,6,0,12,0,0,2
"(3526130192, 3526130191, 0)",2026-06-28,6,0,17,1,0,2
"(1374279617, 6584639024, 0)",2026-06-29,0,0,11,0,0,2
"(7432166402, 7432166403, 0)",2026-06-25,3,0,21,0,0,2
"(6542995199, 1361117830, 0)",2026-07-25,5,1,18,0,0,2
"(6536439375, 6536588938, 0)",2026-06-26,4,1,6,1,0,1
"(6555924658, 6555791336, 0)",2026-05-30,5,1,10,0,0,3
"(6598161400, 6598348640, 0)",2026-06-09,1,0,12,0,0,2
"(1322981515, 5759060158, 0)",2026-05-10,6,0,14,0,1,5
"(1353114192, 1353114107, 0)",2026-05-27,2,0,16,0,1,7
"(6546611579, 12031564935, 0)",2026-07-06,0,0,17,0,0,1
"(1178236650, 1178236811, 0)",2026-07-18,5,1,16,0,1,1
"(6552362569, 6552362570, 0)",2026-07-19,6,0,22,0,0,2
"(1364829529, 1364829688, 0)",2026-05-07,3,0,14,0,1,6
"(1341718877, 1344168014, 0)",2026-06-26,4,1,19,1,0,6
"(1184863686, 6296933039, 0)",2026-05-13,2,0,18,0,0,2
"(1373281684, 1373281574, 0)",2026-07-27,0,0,14,0,1,7
"(6536439375, 6536588938, 0)",2026-06-24,2,0,13,1,0,1
"(6559240104, 6559240107, 0)",2026-05-15,4,1,15,1,1,2
"(9407387382, 1185579794, 0)",2026-05-06,2,0,7,0,1,8
"(1352193566, 1352193540, 0)",2026-06-22,0,0,14,0,1,7
"(1334047122, 1334047056, 0)",2026-05-25,0,0,15,0,1,8
"(1346612565, 1346612081, 0)",2026-07-19,6,0,13,0,0,1
"(6553429911, 1180288829, 0)",2026-05-21,3,0,22,0,0,1
"(1323672769, 1323672516, 0)",2026-07-16,3,0,13,1,0,2
"(1326941345, 1326941569, 0)",2026-05-23,5,1,18,0,0,2
"(6553429911, 1180288829, 0)",2026-07-28,1,0,16,0,1,8
"(1353114192, 1353114107, 0)",2026-07-09,3,0,8,0,1,9
"(1361117264, 1361117334, 0)",2026-06-25,3,0,20,0,0,3
"(1356918579, 1356919507, 0)",2026-06-26,4,1,14,1,1,2
"(6557653945, 6557653962, 0)",2026-06-14,6,0,14,0,1,8
"(1374245565, 1374245525, 0)",2026-07-11,5,1,18,0,0,1
"(5761923664, 1368366565, 0)",2026-06-21,6,0,18,0,0,3
"(1364829713, 6544339896, 0)",2026-05-19,1,0,13,0,0,2
"(1326941345, 1326941569, 0)",2026-06-30,1,0,10,0,0,1
"(1356519875, 6769076215, 0)",2026-05-09,5,1,16,0,1,1
"(1363882222, 1363883477, 0)",2026-06-01,0,0,19,0,0,1
"(1371544145, 1371544159, 0)",2026-06-08,0,0,11,1,0,1
"(9407471693, 6630522620, 0)",2026-06-11,3,0,6,1,0,3
"(1183596438, 1183596411, 0)",2026-07-09,3,0,17,0,0,3
"(1332017826, 1332017777, 0)",2026-07-23,3,0,8,2,1,10
"(6583043108, 1331082612, 0)",2026-06-20,5,1,19,1,0,7
"(1341718877, 1344168014, 0)",2026-05-11,0,0,8,0,1,7
"(1364900835, 719869622, 0)",2026-07-28,1,0,16,0,1,7
"(1330170962, 1330171205, 0)",2026-07-05,6,0,22,0,0,3
"(6585521761, 6585521754, 0)",2026-06-17,2,0,6,0,0,1
"(1186425464, 1184975564, 0)",2026-06-26,4,1,8,1,1,2
"(1374435979, 1364174412, 0)",2026-06-13,5,1,10,0,0,1
"(2988909845, 2988913654, 0)",2026-05-12,1,0,22,1,0,2
"(5930720830, 6598993780, 0)",2026-06-23,1,0,9,0,1,6
"(1323430533, 1323754188, 0)",2026-06-11,3,0,10,1,0,1
"(1179694693, 5761922487, 0)",2026-07-03,4,1,8,0,1,1
"(331538426, 596600176, 0)",2026-05-10,6,0,8,0,1,8
"(1332669891, 6628697084, 0)",2026-07-12,6,0,19,0,0,2
"(2442418232, 1179694631, 0)",2026-06-21,6,0,16,0,1,6
"(1349780764, 1370526533, 0)",2026-05-16,5,1,10,0,0,3
"(5765103561, 6559093393, 0)",2026-07-28,1,0,8,0,1,7
"(1184943115, 1185026255, 0)",2026-07-27,0,0,13,0,0,1
"(5930720830, 6598993780, 0)",2026-06-07,6,0,13,0,0,2
"(1323430562, 5758954840, 0)",2026-06-21,6,0,21,0,0,3
"(6584072707, 6584072708, 0)",2026-05-21,3,0,13,0,0,2
"(1374279176, 1374279464, 0)",2026-07-11,5,1,21,0,0,5
"(1374129773, 1374129642, 0)",2026-06-14,6,0,6,0,0,2
"(1323698491, 1323698546, 0)",2026-07-22,2,0,19,0,0,2
"(1357216546, 1357216432, 0)",2026-07-20,0,0,8,1,1,6
"(6542903703, 6542903721, 0)",2026-05-26,1,0,19,0,0,2
"(1331613509, 1331613269, 0)",2026-06-19,4,1,12,0,0,3
"(5903235296, 1346639012, 0)",2026-05-26,1,0,12,0,0,3
"(1178236650, 1178236811, 0)",2026-05-19,1,0,23,0,0,1
"(6588574695, 6588574696, 0)",2026-06-20,5,1,12,1,0,3
"(2442418232, 1179694631, 0)",2026-05-19,1,0,20,0,0,2
"(6588574721, 6588574723, 0)",2026-06-28,6,0,13,1,0,1
"(1330171637, 1330170399, 0)",2026-05-17,6,0,6,0,0,3
"(1357399489, 1357399332, 0)",2026-05-30,5,1,23,0,0,2
"(2988915683, 6552088459, 0)",2026-06-17,2,0,10,0,0,1
"(6584186546, 5760617328, 0)",2026-05-12,1,0,6,1,0,3
"(721619180, 1380541148, 0)",2026-07-09,3,0,6,0,0,1
"(6559065353, 6559065355, 0)",2026-05-02,5,1,11,0,0,1
"(1352194048, 6933986339, 0)",2026-07-06,0,0,19,0,0,1
"(1395429860, 1395429882, 0)",2026-05-24,6,0,22,0,0,3
"(1175877680, 1175876658, 0)",2026-07-07,1,0,22,0,0,2
"(6585611590, 6585611586, 0)",2026-07-15,2,0,8,0,1,7
"(1322981366, 12539090832, 0)",2026-07-22,2,0,22,0,0,2
"(1334047122, 1334047056, 0)",2026-07-04,5,1,22,0,0,8
"(2442418232, 1179694631, 0)",2026-07-06,0,0,22,0,0,1
"(1332669734, 6627933395, 0)",2026-07-07,1,0,18,0,0,3
"(1346639125, 6553140114, 0)",2026-06-09,1,0,14,0,1,6
"(1323754501, 1323754359, 0)",2026-07-02,3,0,16,0,1,8
"(2988909845, 2988913654, 0)",2026-07-17,4,1,9,0,1,2
"(1184863686, 6296933039, 0)",2026-07-09,3,0,8,0,1,7
"(1174524594, 5754846394, 0)",2026-05-10,6,0,13,0,0,2
"(1328078896, 724730812, 0)",2026-06-09,1,0,6,0,0,3
"(1374245133, 1374245568, 0)",2026-06-05,4,1,14,0,1,2
"(1343821200, 1343821239, 0)",2026-05-08,4,1,6,1,0,2
"(9407387382, 1185579794, 0)",2026-06-29,0,0,6,0,0,3
"(1364174324, 1364174414, 0)",2026-05-09,5,1,22,0,0,5
"(1335496222, 1356243636, 0)",2026-05-11,0,0,13,0,0,2
"(1371671621, 1371671088, 0)",2026-05-22,4,1,21,1,0,6
"(5766243573, 1331024008, 0)",2026-05-11,0,0,21,0,0,3
"(1323345183, 6552242977, 0)",2026-05-30,5,1,11,0,0,1
"(5903235296, 1346639012, 0)",2026-07-25,5,1,15,0,1,2
"(6637789299, 6637789301, 0)",2026-06-23,1,0,10,0,0,1
"(1364900682, 6542236950, 0)",2026-06-29,0,0,8,0,1,8
"(1324408890, 1324408701, 0)",2026-06-08,0,0,11,1,0,2
"(721619073, 1334295727, 0)",2026-05-05,1,0,7,1,1,5
"(1328078896, 724730812, 0)",2026-05-01,4,1,14,1,1,1
"(6304508694, 6542865592, 0)",2026-06-14,6,0,11,0,0,2
"(1363883359, 1363882222, 0)",2026-07-01,2,0,8,0,1,5
"(6538590906, 6538590907, 0)",2026-05-30,5,1,23,0,0,2
"(1359004421, 1359004039, 0)",2026-06-16,1,0,15,0,1,9
"(6585611590, 6585611586, 0)",2026-07-03,4,1,8,0,1,1
"(1175877701, 1175876747, 0)",2026-05-02,5,1,7,0,1,2
"(6735485653, 392257875, 0)",2026-07-01,2,0,17,0,0,1
"(1324408994, 1324408803, 0)",2026-05-18,0,0,17,0,0,2
"(6559240104, 6559240107, 0)",2026-05-25,0,0,12,0,0,2
"(3467985821, 3467985833, 0)",2026-05-25,0,0,7,0,1,7
"(3112549168, 3112549151, 0)",2026-07-06,0,0,17,0,0,2
"(1347137543, 1347137628, 0)",2026-06-14,6,0,18,0,0,2
"(1354862489, 1354862557, 0)",2026-06-18,3,0,9,0,1,5
"(6557653945, 6557653962, 0)",2026-05-13,2,0,11,0,0,2
"(1380076849, 1380076927, 0)",2026-06-30,1,0,12,0,0,2
"(1324408803, 1324408994, 0)",2026-05-25,0,0,14,0,1,7
"(1329637794, 1329637952, 0)",2026-06-07,6,0,23,0,0,1
"(1364900682, 6542236950, 0)",2026-05-18,0,0,11,0,0,1
"(6552768140, 1330947542, 0)",2026-05-29,4,1,20,0,0,7
"(6556986422, 5766243919, 0)",2026-06-12,4,1,9,1,1,3
"(1328079242, 1328078851, 0)",2026-06-15,0,0,16,0,1,6
"(1370526769, 1370526928, 0)",2026-07-13,0,0,23,0,0,2
"(1341718877, 1344168014, 0)",2026-06-22,0,0,16,0,1,9
"(6546593263, 6586697616, 0)",2026-07-23,3,0,8,2,1,10
"(1324570374, 1324570421, 0)",2026-06-10,2,0,8,0,1,7
"(6631172448, 1324408982, 0)",2026-06-17,2,0,6,0,0,2
"(1184864093, 1184863233, 0)",2026-05-17,6,0,14,0,1,9
"(1361117697, 1361117344, 0)",2026-07-06,0,0,8,0,1,5
"(1329698771, 1329698284, 0)",2026-07-03,4,1,14,0,1,3
"(1324181494, 6622601720, 0)",2026-06-28,6,0,23,1,0,1
"(1175877701, 1175876747, 0)",2026-07-24,4,1,9,0,1,2
"(1353114192, 1353114107, 0)",2026-07-23,3,0,9,2,1,10
"(1371614491, 1371614644, 0)",2026-05-23,5,1,17,0,0,3
"(1329698406, 1329698844, 0)",2026-05-03,6,0,15,2,1,10
"(1330537648, 6554845384, 0)",2026-06-10,2,0,12,0,0,2
"(6541873169, 6541873170, 0)",2026-06-16,1,0,14,0,1,6
"(1350774257, 1350774330, 0)",2026-07-23,3,0,18,2,0,6
"(6755854467, 1372487009, 1)",2026-06-10,2,0,21,0,0,1
"(1326062482, 1326062791, 0)",2026-05-31,6,0,14,1,1,9
"(1351057242, 331562252, 0)",2026-06-22,0,0,6,0,0,3
"(2988909845, 2988913654, 0)",2026-06-13,5,1,16,0,1,1
"(6561114829, 1171724116, 0)",2026-05-24,6,0,6,0,0,2
"(6552768140, 1330947542, 0)",2026-06-05,4,1,18,0,0,1
"(1381026313, 6570667566, 0)",2026-06-27,5,1,20,2,0,10
"(1374245437, 1374245314, 0)",2026-06-12,4,1,18,1,0,2
"(1335496467, 1335496670, 0)",2026-05-01,4,1,6,1,0,3
"(6757636101, 6756086743, 0)",2026-07-22,2,0,14,0,1,6
"(12208471727, 12208928944, 0)",2026-05-15,4,1,8,1,1,3
"(1361117556, 1361117294, 0)",2026-06-29,0,0,18,0,0,3
"(1350752740, 1350753292, 0)",2026-06-23,1,0,16,0,1,9
"(1332724605, 6769856178, 0)",2026-07-09,3,0,6,0,0,3
"(6750036709, 6750036706, 0)",2026-05-31,6,0,21,1,0,3
"(5930720830, 6598993780, 0)",2026-07-29,2,0,12,2,0,5
"(6561114829, 1171724116, 0)",2026-05-10,6,0,6,0,0,2
"(3526130192, 3526130191, 0)",2026-05-30,5,1,11,0,0,2
"(6548147776, 6542110941, 0)",2026-06-11,3,0,7,1,1,9
"(1178236650, 1178236811, 0)",2026-05-12,1,0,21,1,0,2
"(6570316836, 1327150065, 0)",2026-05-16,5,1,8,0,1,3
"(1330400137, 6629198642, 0)",2026-05-29,4,1,13,0,0,1
"(6552183332, 5755970960, 0)",2026-06-28,6,0,19,1,0,1
"(1335496222, 1356243636, 0)",2026-05-01,4,1,23,1,0,1
"(1329345222, 1327186562, 0)",2026-05-13,2,0,8,0,1,9
"(1174154997, 1174154743, 0)",2026-06-08,0,0,18,1,0,1
"(1183596438, 1183596411, 0)",2026-07-04,5,1,19,0,0,5
"(1335496467, 1335496670, 0)",2026-06-29,0,0,13,0,0,3
"(1335496467, 1335496670, 0)",2026-05-10,6,0,7,0,1,7
"(1331244655, 1331244362, 0)",2026-05-16,5,1,21,0,0,4
"(1180288747, 1180288772, 0)",2026-07-16,3,0,20,1,0,3
"(1323345442, 1323345972, 0)",2026-05-14,3,0,8,0,1,8
"(6557974648, 1417561090, 0)",2026-05-29,4,1,6,0,0,1
"(6536439375, 6536588938, 0)",2026-06-03,2,0,12,0,0,3
"(1330947296, 1330820257, 0)",2026-06-17,2,0,17,0,0,2
"(6757354948, 1332017603, 0)",2026-05-29,4,1,13,0,0,2
"(1333236267, 6640086937, 0)",2026-05-25,0,0,18,0,0,2
"(1349527623, 1349527724, 0)",2026-05-05,1,0,20,1,0,3
"(1330171637, 1330170399, 0)",2026-07-25,5,1,18,0,0,1
"(1328079405, 6581812777, 0)",2026-06-12,4,1,19,1,0,7
"(1323345470, 1323345442, 0)",2026-06-26,4,1,10,1,0,2
"(13037817967, 13037817968, 0)",2026-06-11,3,0,19,1,0,1
"(5903235296, 1346639012, 0)",2026-05-12,1,0,21,1,0,2
"(6630522679, 6630522676, 0)",2026-06-15,0,0,20,0,0,3
"(6755854467, 1372487009, 1)",2026-05-04,0,0,12,0,0,1
"(1323346022, 6598161420, 0)",2026-07-29,2,0,13,2,0,4
"(6561421802, 6561346682, 0)",2026-05-06,2,0,16,0,1,7
"(9407387382, 1185579794, 0)",2026-05-03,6,0,14,2,1,8
"(1181366272, 1181365512, 0)",2026-06-11,3,0,14,1,1,8
"(5754489564, 1175374600, 0)",2026-06-06,5,1,10,0,0,3
"(1322982054, 6580856314, 0)",2026-07-26,6,0,12,2,0,4
"(6591306604, 13980225453, 0)",2026-05-29,4,1,19,0,0,7
"(1370526769, 1370526928, 0)",2026-07-13,0,0,9,0,1,7
"(1334047185, 1334047322, 0)",2026-06-07,6,0,18,0,0,3
"(6577216619, 1367530046, 0)",2026-06-09,1,0,21,0,0,2
"(1175373522, 1175375870, 0)",2026-06-18,3,0,9,0,1,9
"(5754489564, 1175374600, 0)",2026-05-25,0,0,20,0,0,3
"(1185026376, 1184942947, 0)",2026-05-03,6,0,13,2,0,5
"(6541243906, 6530776895, 0)",2026-05-29,4,1,22,0,0,6
"(1326062482, 1326062791, 0)",2026-05-18,0,0,16,0,1,8
"(3111983583, 6547342476, 0)",2026-05-05,1,0,8,1,1,9
